path,barrio,localidad,categoria,descripcion
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/aeropuerto_pajas_blancas_1965_claudio_pereira-10025.jpg,,Córdoba Capital,Transporte Público,Aeropuerto Pajas Blancas 1965 Claudio Pereira-10025.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Anuncios_y_Publicidades_03_Marcelo_Ferretti-10094.jpg,,Córdoba Capital,Anuncios y Publicidades,Anuncios Y Publicidades 03 Marcelo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Anuncios_y_Publicidades_04_Marcelo_Ferretti-10093.jpg,,Córdoba Capital,Anuncios y Publicidades,Anuncios Y Publicidades 04 Marcelo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Anuncios_y_Publicidades_05_Marcelo_Ferretti-10092.jpg,,Córdoba Capital,Anuncios y Publicidades,Anuncios Y Publicidades 05 Marcelo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Anuncios_y_Publicidades_06_Marcelo_Ferretti-10091.jpg,,Córdoba Capital,Anuncios y Publicidades,Anuncios Y Publicidades 06 Marcelo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/bialet_masse_02_Mar__a_Elsa_Peroni-10046.jpg,,Córdoba Capital,General,Bialet Masse 02 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/bialet_masse_03_Mar__a_Elsa_Peroni-10047.jpg,,Córdoba Capital,General,Bialet Masse 03 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/carta_catastral_hoja_32_1937_ToNio_Blanco-10045.jpg,,Córdoba Capital,General,Carta Catastral Hoja 32 1937 Tonio
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Cerro_de_las_Rosas_03_Luis_Sciolla-10044.jpg,,Córdoba Capital,General,Cerro De Las Rosas 03 Luis
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Confiteria_Del_Plata_04_Marcelo_Ferretti-10026.jpg,,Córdoba Capital,Comercios,Confiteria Del Plata 04 Marcelo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_ciudad_transporte_Liliana_Renaudeau_01-10021.jpg,,Córdoba Capital,General,Cordoba Ciudad Transporte Liliana Renaudeau 01-10021.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_ciudad_transporte_Liliana_Renaudeau_02-10022.jpg,,Córdoba Capital,General,Cordoba Ciudad Transporte Liliana Renaudeau 02-10022.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_ciudad_transporte_Liliana_Renaudeau_03-10023.jpg,,Córdoba Capital,General,Cordoba Ciudad Transporte Liliana Renaudeau 03-10023.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_ciudad_tranvia_20_Gao_GaOviedo-10086.jpg,,Córdoba Capital,Transporte Público,Cordoba Ciudad Tranvia 20 Gao
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Cordoba_Jardin_Zoologico_7_Sergio_Sanchez-10095.jpg,Jardín,Córdoba Capital,Plazas y Parques,Cordoba Jardin Zoologico 7 Sergio
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_zona_centro_56_Daniel_Etchemendy-10030.jpg,Centro,Córdoba Capital,General,Cordoba Zona Centro 56 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_zona_centro_57_Daniel_Etchemendy-10029.jpg,Centro,Córdoba Capital,General,Cordoba Zona Centro 57 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_zona_centro_58_Daniel_Etchemendy-10028.jpg,Centro,Córdoba Capital,General,Cordoba Zona Centro 58 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_zona_centro_59_Claudio_Pezza-10072.jpg,Centro,Córdoba Capital,General,Cordoba Zona Centro 59 Claudio
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_zona_centro_60_Claudio_Pezza-10071.jpg,Centro,Córdoba Capital,General,Cordoba Zona Centro 60 Claudio
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_zona_centro_61_Claudio_Pezza-10070.jpg,Centro,Córdoba Capital,General,Cordoba Zona Centro 61 Claudio
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_zona_centro_62_Guillermo_Garc__a_Marsal-10096.jpg,Centro,Córdoba Capital,General,Cordoba Zona Centro 62 Guillermo Garc A
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cordoba_zona_centro_63_Horacio_Pruzzo-10099.jpg,Centro,Córdoba Capital,General,Cordoba Zona Centro 63 Horacio
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_02_Mar__a_Elsa_Peroni-10048.jpg,,Cosquín,General,Cosquin 02 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_03_Mar__a_Elsa_Peroni-10049.jpg,,Cosquín,General,Cosquin 03 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_04_Mar__a_Elsa_Peroni-10050.jpg,,Cosquín,General,Cosquin 04 Mar A Elsa
